Game,Recommended Games
"Warhammer 40,000: Space Marine","['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Men of War: Vietnam,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
Hard Reset Extended Edition,"['Orbitality', 'Tank Universal', 'Larva Mortus', 'The Maw', 'The Maw: River Redirect']"
Pride of Nations: The Franco-Prussian War 1870,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
Wasteland Angel,"['Orbitality', 'Tank Universal', 'Larva Mortus', 'The Maw', 'The Maw: River Redirect']"
Rock of Ages,"['Carmageddon Max Pack', 'Souland', 'Space Trader: Merchant Marine', 'Super Laser  Racer', 'APOX']"
Red Orchestra 2: Heroes of Stalingrad with Rising Storm,"['Super Thunder Blade™', 'Virtua Fighter™ 2', 'Red Orchestra 2: Heroes of Stalingrad with Rising Storm', 'Air Conflicts: Secret Wars', 'X3: Albion Prelude']"
Call of Juarez®: The Cartel,"['Tomb Raider: Anniversary', 'Sam &amp; Max 101: Culture Shock', 'Sam &amp; Max 102: Situation: Comedy', 'Tomb Raider: Legend', 'Death to Spies']"
Cities in Motion: German Cities,"['Silent Hunter® III', 'Petz® Horsez® 2', 'Silent Hunter®: Wolves of the Pacific', 'IL-2 Sturmovik: 1946', 'Silent Hunter®: Wolves of the Pacific U-Boat Missions']"
Magic: The Gathering 2012 - Expansion,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
Sengoku,"['Sengoku', 'Jagged Alliance - Back in Action', 'Crusader Kings II', 'Jagged Alliance - Back in Action: Shades of Red DLC', 'Jagged Alliance: Back in Action DLC: Urban Specialist Kit']"
Astro Tripper,"['Orbitality', 'Tank Universal', 'Larva Mortus', 'The Maw', 'The Maw: River Redirect']"
Nancy Drew®: Shadow at the Water's Edge,"['Bone: The Great Cow Race', 'Dracula Origin', ""Oddworld: Abe's Exoddus®"", ""Oddworld: Abe's Oddysee®"", 'Ankh 2: Heart of Osiris']"
Two Worlds II - Pirates of the Flying Fortress,"['Rise of the Argonauts', 'Drakensang', 'Guild Wars Nightfall®', 'Guild Wars® Game of the Year Edition', 'Guild Wars Factions®']"
Bunch of Heroes,"['Orbitality', 'Tank Universal', 'Larva Mortus', 'The Maw', 'The Maw: River Redirect']"
Duke Nukem Forever: Hail to the Icons Parody Pack,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Might &amp; Magic: Heroes VI,"[""King's Bounty: The Legend"", 'Freedom Force vs. the Third Reich', 'Freedom Force', 'SpellForce 2 - Anniversary Edition', 'Disciples III - Renaissance Steam Special Edition']"
Supreme Commander: Forged Alliance,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
The Binding of Isaac,"['The Binding of Isaac', 'Delver', 'Vox', 'Ravensword: Shadowlands', 'CONSORTIUM']"
Farming Simulator 2011 Equipment Pack 3,"['Silent Hunter® III', 'Petz® Horsez® 2', 'Silent Hunter®: Wolves of the Pacific', 'IL-2 Sturmovik: 1946', 'Silent Hunter®: Wolves of the Pacific U-Boat Missions']"
Off-Road Drive,"['Aquadelic GT', 'BeamNG.drive', 'Car Mechanic Simulator 2015 - Trader Pack', 'Trucker 2', 'Car Mechanic Simulator 2015 - PickUp &amp; SUV']"
Supreme Commander,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
Fate of the World: Tipping Point,"['Fate of the World: Tipping Point', 'Fate of the World: Denial', 'Fate of the World: Migration', 'Fate of the World: Extras Pack', '7 Grand Steps: What Ancients Begat']"
Post Apocalyptic Mayhem: DLC - Chaos Pack,"['Crash Time 2', 'Post Apocalyptic Mayhem: DLC - Chaos Pack', 'Death Rally', 'Sleeping Dogs - Street Racer Pack', 'Trials Evolution: Gold Edition']"
Fate of the World: Denial,"['Fate of the World: Tipping Point', 'Fate of the World: Denial', 'Fate of the World: Migration', 'Fate of the World: Extras Pack', '7 Grand Steps: What Ancients Begat']"
Fate of the World: Migration,"['Fate of the World: Tipping Point', 'Fate of the World: Denial', 'Fate of the World: Migration', 'Fate of the World: Extras Pack', '7 Grand Steps: What Ancients Begat']"
Sniper: Ghost Warrior - Second Strike,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Air Conflicts: Secret Wars,"['Super Thunder Blade™', 'Virtua Fighter™ 2', 'Red Orchestra 2: Heroes of Stalingrad with Rising Storm', 'Air Conflicts: Secret Wars', 'X3: Albion Prelude']"
Fate of the World: Extras Pack,"['Fate of the World: Tipping Point', 'Fate of the World: Denial', 'Fate of the World: Migration', 'Fate of the World: Extras Pack', '7 Grand Steps: What Ancients Begat']"
Dead Rising 2: Off the Record,"['Tomb Raider: Anniversary', 'Sam &amp; Max 101: Culture Shock', 'Sam &amp; Max 102: Situation: Comedy', 'Tomb Raider: Legend', 'Death to Spies']"
The Baconing DLC - Roesha – One Bad Mutha Co-op Character,"['The Longest Journey', 'X-Blades', ""The Bard's Tale"", 'The Baconing', 'The Baconing DLC - Roesha – One Bad Mutha Co-op Character']"
Disciples III - Resurrection,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
Memoir '44 Online,"['Gardens Inc. – From Rakes to Riches', 'Evolution RTS', 'MOAI: Build Your Dream', 'Railroad Lines', 'Bridge!']"
Train Simulator: Amtrak Acela Express EMU Add-On,"['Silent Hunter® III', 'Petz® Horsez® 2', 'Silent Hunter®: Wolves of the Pacific', 'IL-2 Sturmovik: 1946', 'Silent Hunter®: Wolves of the Pacific U-Boat Missions']"
Costume Quest,"['Costume Quest', 'Costume Quest 2', 'Deep Dungeons of Doom', 'Bitcoin Clicker', 'SEGA Mega Drive and Genesis Classics']"
The Sims™ 3 Pets,"['Silent Hunter® III', 'Petz® Horsez® 2', 'Silent Hunter®: Wolves of the Pacific', 'IL-2 Sturmovik: 1946', 'Silent Hunter®: Wolves of the Pacific U-Boat Missions']"
Gratuitous Space Battles: The Parasites,"['Gratuitous Space Battles', 'Gratuitous Space Battles: The Tribe', 'Making History II: The War of the World', 'Gratuitous Space Battles: Galactic Conquest', 'Gratuitous Space Battles: The Parasites']"
Serious Sam: The Random Encounter,"['The Ship: Murder Party', 'The Ship: Single Player', 'Aztaka', 'Avencast: Rise of the Mage', 'DeathSpank']"
Before the Echo,"['Before the Echo', ""Penny Arcade's On the Rain-Slick Precipice of Darkness 3"", 'Dungeon Defenders  - Quest for the Lost Eternia Shards Part 4', ""Penny Arcade's On the Rain-Slick Precipice of Darkness 4"", 'Knights of Pen and Paper +1 Edition']"
Puzzler World 2,"['iBomber Defense Pacific', 'Bumbledore', 'Ticket to Ride - USA 1910', 'Ticket to Ride - Europe', 'Ticket to Ride']"
Airline Tycoon 2,"['Pacific Storm Allies', 'Children of the Nile: Alexandria', 'City Life 2008', 'Codename: Panzers - Cold War', 'Tropico Reloaded']"
ArcaniA: Fall of Setarrif,"['Rise of the Argonauts', 'Drakensang', 'Guild Wars Nightfall®', 'Guild Wars® Game of the Year Edition', 'Guild Wars Factions®']"
The Haunted: Hells Reach,"['Orbitality', 'Tank Universal', 'Larva Mortus', 'The Maw', 'The Maw: River Redirect']"
Orcs Must Die! - Artifacts of Power,"['Space Trader: Merchant Marine', 'APOX', 'Anomaly: Warzone Earth', 'Orcs Must Die! - Artifacts of Power', 'Orcs Must Die! - Lost Adventures']"
Dungeon Siege III: Treasures of the Sun,"['S.T.A.L.K.E.R.: Clear Sky', ""The Witcher: Enhanced Edition Director's Cut"", 'SpellForce - Platinum Edition', 'Mount &amp; Blade: Warband', 'Alpha Protocol™']"
DC Universe™ Online,"['Spiral Knights: Operation Crimson Hammer', 'Vindictus', 'Dungeons &amp; Dragons Online®', 'Spiral Knights: Guardians Armor Pack', 'Neverwinter']"
Tropico 4: Junta Military DLC,"['Pacific Storm Allies', 'Children of the Nile: Alexandria', 'City Life 2008', 'Codename: Panzers - Cold War', 'Tropico Reloaded']"
Sonic Generations Collection,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Nancy Drew®: Alibi in Ashes,"['Bone: The Great Cow Race', 'Dracula Origin', ""Oddworld: Abe's Exoddus®"", ""Oddworld: Abe's Oddysee®"", 'Ankh 2: Heart of Osiris']"
Orcs Must Die! - Lost Adventures,"['Space Trader: Merchant Marine', 'APOX', 'Anomaly: Warzone Earth', 'Orcs Must Die! - Artifacts of Power', 'Orcs Must Die! - Lost Adventures']"
Call of Duty®: Modern Warfare® 3,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
L.A. Noire,"['L.A. Noire: DLC Bundle', 'The Witcher Adventure Game', 'Hunting Unlimited™ 2008', 'Ceville', ""Oddworld: Munch's Oddysee""]"
L.A. Noire: DLC Bundle,"['L.A. Noire: DLC Bundle', 'The Witcher Adventure Game', 'Hunting Unlimited™ 2008', 'Ceville', ""Oddworld: Munch's Oddysee""]"
Men of War: Assault Squad - MP Supply Pack Charlie,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
Jamestown Soundtrack,"['Orbitality', 'Tank Universal', 'Larva Mortus', 'The Maw', 'The Maw: River Redirect']"
"Jamestown: Gunpowder, Treason, &amp; Plot","['Orbitality', 'Tank Universal', 'Larva Mortus', 'The Maw', 'The Maw: River Redirect']"
Dungeon Defenders Halloween Mission Pack,"['Dungeon Defenders Halloween Mission Pack', 'Dungeon Defenders - Quest for the Lost Eternia Shards Part 2', 'Dungeon Defenders Lucky Costume Pack', 'Dungeon Defenders: Series EV Hero DLC', 'Dungeon Defenders: Penny Arcade Character Pack']"
Fractal: Make Blooms Not War,"['Zen of Sudoku', 'Gumboy - Crazy Adventures™', 'RIP - Trilogy™', 'Ninja Reflex: Steamworks Edition', 'Gravitron 2']"
Magicka: Horror Props Item Pack,"['S.T.A.L.K.E.R.: Clear Sky', ""The Witcher: Enhanced Edition Director's Cut"", 'SpellForce - Platinum Edition', 'Mount &amp; Blade: Warband', 'Alpha Protocol™']"
SkyDrift,"['SkyDrift', 'Spectra', 'SinaRun', 'Krautscape', 'Carmageddon Max Pack']"
Magicka: Holiday Spirit Item Pack,"['S.T.A.L.K.E.R.: Clear Sky', ""The Witcher: Enhanced Edition Director's Cut"", 'SpellForce - Platinum Edition', 'Mount &amp; Blade: Warband', 'Alpha Protocol™']"
Total War: SHOGUN 2 - The Hattori Clan Pack,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
Total War: Shogun 2 - Blood Pack DLC,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
Magicka: The Stars Are Left,"['S.T.A.L.K.E.R.: Clear Sky', ""The Witcher: Enhanced Edition Director's Cut"", 'SpellForce - Platinum Edition', 'Mount &amp; Blade: Warband', 'Alpha Protocol™']"
Europa Universalis III: Reformation SpritePack,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
Real Warfare 1242,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
Galactic Civilizations® II: Ultimate Edition,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
Train Simulator: West Coast Main Line North Route Add-On,"['Silent Hunter® III', 'Petz® Horsez® 2', 'Silent Hunter®: Wolves of the Pacific', 'IL-2 Sturmovik: 1946', 'Silent Hunter®: Wolves of the Pacific U-Boat Missions']"
APB Reloaded,"['APB Reloaded', 'Tribes: Ascend', 'APB Reloaded Urban Survival Pack', 'Soldier Front 2', 'Soldier Front 2: Shoot Em Up Package']"
Blackwell Unbound,"['Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack', 'Machinarium', 'The Misadventures of P.B. Winterbottom', 'Puzzle Bots', 'Clones']"
Men of War: Assault Squad - Skirmish Pack 2,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
Killing Floor - Steampunk Character Pack 2,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Flatout 3: Chaos &amp; Destruction,"['FlatOut 2™', 'FlatOut', 'Midnight Club 2', '18 Wheels of Steel: American Long Haul', 'Midnight Outlaw: 6 Hours to SunUp']"
Assassin's Creed Revelations - The Ancestors Character Pack,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Dungeon Defenders The Great Turkey Hunt! Mission &amp; Costumes,"['The Ship: Murder Party', 'The Ship: Single Player', 'Aztaka', 'Avencast: Rise of the Mage', 'DeathSpank']"
Tropico 4: Plantador DLC,"['Pacific Storm Allies', 'Children of the Nile: Alexandria', 'City Life 2008', 'Codename: Panzers - Cold War', 'Tropico Reloaded']"
Earth Defense Force: Insect Armageddon,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Magic 2012 Deck Pack 2,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
"Warhammer 40,000: Space Marine - Golden Relic Chainsword","['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
"Warhammer 40,000: Space Marine - Traitor Legions Pack","['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Dungeons of Dredmor: Realm of the Diggle Gods,"['Hack, Slash, Loot', 'Aveyond 3-3: The Lost Orb', 'Bret Airborne', 'Barter Empire', 'Remnants Of Isolation']"
"Warhammer 40,000: Space Marine - Emperor’s Elite Pack","['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Pirates of Black Cove: Origins,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
"Warhammer 40,000: Space Marine - Golden Relic Bolter","['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
X3: Albion Prelude,"['Super Thunder Blade™', 'Virtua Fighter™ 2', 'Red Orchestra 2: Heroes of Stalingrad with Rising Storm', 'Air Conflicts: Secret Wars', 'X3: Albion Prelude']"
Trine 2: Complete Story,"['Penumbra Overture', 'Amnesia: The Dark Descent', 'The Ball', ""Tobe's Vertical Adventure"", 'Trine 2: Complete Story']"
Dungeon Defenders - Quest for the Lost Eternia Shards Part 1,"['The Ship: Murder Party', 'The Ship: Single Player', 'Aztaka', 'Avencast: Rise of the Mage', 'DeathSpank']"
SATAZIUS,"['Orbitality', 'Tank Universal', 'Larva Mortus', 'The Maw', 'The Maw: River Redirect']"
Fable - The Lost Chapters,"['The Longest Journey', 'X-Blades', ""The Bard's Tale"", 'The Baconing', 'The Baconing DLC - Roesha – One Bad Mutha Co-op Character']"
Renegade Ops - Reinforcement Pack,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Crazy Machines 2: Happy New Year DLC,"['Westward® IV: All Aboard', 'Crazy Machines 2: Time Travel Add-On', 'Crazy Machines 2: Happy New Year DLC', 'Crazy Machines Elements DLC - Collision Course &amp; Mental Activity', 'Quantum Conundrum: The Desmond Debacle']"
Dungeon Defenders - Etherian Holiday Extravaganza,"['The Ship: Murder Party', 'The Ship: Single Player', 'Aztaka', 'Avencast: Rise of the Mage', 'DeathSpank']"
Saints Row: The Third Warrior Pack,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Renegade Ops - Coldstrike Campaign,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
"Warhammer 40,000: Space Marine - Alpha Legion Champion Armour Set","['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
"Warhammer 40,000: Space Marine - Salamanders Veteran Armour Set","['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
"Warhammer 40,000: Space Marine - Blood Angels Veteran Armour Set","['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
"Warhammer 40,000: Space Marine - Legion of the Damned Armour Set","['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
"Warhammer 40,000: Space Marine - Chaos Unleashed Map Pack","['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Earth Defense Force Tactician Advanced Tech Package,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Earth Defense Force Aerialist Munitions Package,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Earth Defense Force Trooper Special Issue Enforcer Package,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Earth Defense Force Battle Armor Weapon Chest,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Oil Rush,"['Defense Grid: The Awakening', 'Harvest: Massive Encounter', 'Mayhem Intergalactic', 'Defense Grid: Resurgence Map Pack 1', 'Star Ruler']"
Train Simulator: Woodhead Route Add-On,"['Silent Hunter® III', 'Petz® Horsez® 2', 'Silent Hunter®: Wolves of the Pacific', 'IL-2 Sturmovik: 1946', 'Silent Hunter®: Wolves of the Pacific U-Boat Missions']"
King Arthur II: The Role-Playing Wargame,"[""King's Bounty: The Legend"", 'Freedom Force vs. the Third Reich', 'Freedom Force', 'SpellForce 2 - Anniversary Edition', 'Disciples III - Renaissance Steam Special Edition']"
King Arthur II: Dead Legions,"[""King's Bounty: The Legend"", 'Freedom Force vs. the Third Reich', 'Freedom Force', 'SpellForce 2 - Anniversary Edition', 'Disciples III - Renaissance Steam Special Edition']"
Serious Sam 2,"['Orbitality', 'Tank Universal', 'Larva Mortus', 'The Maw', 'The Maw: River Redirect']"
Fortune Summoners,"['The Ship: Murder Party', 'The Ship: Single Player', 'Aztaka', 'Avencast: Rise of the Mage', 'DeathSpank']"
Star Trek Online,"['Champions Online', 'Star Trek Online', 'The Lord of the Rings Online™', 'Ragnarok Online 2 - Elemento School Graduation Pack', ""Ragnarok Online 2 - Trendsetter Fashionista's Pack""]"
Dungeon Defenders: Barbarian Hero DLC,"['The Ship: Murder Party', 'The Ship: Single Player', 'Aztaka', 'Avencast: Rise of the Mage', 'DeathSpank']"
Dungeon Defenders: Assault Mission Pack,"['The Ship: Murder Party', 'The Ship: Single Player', 'Aztaka', 'Avencast: Rise of the Mage', 'DeathSpank']"
Jagged Alliance - Back in Action,"['Sengoku', 'Jagged Alliance - Back in Action', 'Crusader Kings II', 'Jagged Alliance - Back in Action: Shades of Red DLC', 'Jagged Alliance: Back in Action DLC: Urban Specialist Kit']"
Pineapple Smash Crew,"['Orbitality', 'Tank Universal', 'Larva Mortus', 'The Maw', 'The Maw: River Redirect']"
Victoria II: A House Divided,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
PixelJunk™ Eden,"['Razor2: Hidden Skies', 'Swarm Arena', 'The Polynomial - Space of the music', 'BIT.TRIP BEAT', ""Who's That Flying?!""]"
Pixeljunk Eden Soundtrack,"['Zen of Sudoku', 'Gumboy - Crazy Adventures™', 'RIP - Trilogy™', 'Ninja Reflex: Steamworks Edition', 'Gravitron 2']"
Snuggle Truck,"['Spheritis', 'MiniOne Racing', 'Impulse Revolution', 'OutDrive', 'Jones On Fire']"
Titan Attacks!,"['Razor2: Hidden Skies', 'Swarm Arena', 'The Polynomial - Space of the music', 'BIT.TRIP BEAT', ""Who's That Flying?!""]"
Choplifter HD - Night Avenger Chopper,"['Orbitality', 'Tank Universal', 'Larva Mortus', 'The Maw', 'The Maw: River Redirect']"
Crusader Kings II,"['Sengoku', 'Jagged Alliance - Back in Action', 'Crusader Kings II', 'Jagged Alliance - Back in Action: Shades of Red DLC', 'Jagged Alliance: Back in Action DLC: Urban Specialist Kit']"
Crusader Kings II: Dynasty Shields,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
Crusader Kings II: Mongol Faces,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
Xotic DLC: Pipe Works Expansion Pack,"['Orbitality', 'Tank Universal', 'Larva Mortus', 'The Maw', 'The Maw: River Redirect']"
Alan Wake,"['Tomb Raider: Anniversary', 'Sam &amp; Max 101: Culture Shock', 'Sam &amp; Max 102: Situation: Comedy', 'Tomb Raider: Legend', 'Death to Spies']"
Train Simulator: Glasgow Airport Rail Link Route Add-On,"['Silent Hunter® III', 'Petz® Horsez® 2', 'Silent Hunter®: Wolves of the Pacific', 'IL-2 Sturmovik: 1946', 'Silent Hunter®: Wolves of the Pacific U-Boat Missions']"
Magicka: Lonely Island Cruise,"['S.T.A.L.K.E.R.: Clear Sky', ""The Witcher: Enhanced Edition Director's Cut"", 'SpellForce - Platinum Edition', 'Mount &amp; Blade: Warband', 'Alpha Protocol™']"
Postal III,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Starpoint Gemini,"['Patrician III', 'Sengoku', 'Jagged Alliance - Back in Action', 'Crusader Kings II', 'Jagged Alliance - Back in Action: Shades of Red DLC']"
Realm of the Mad God,"['Guns and Robots - Starter Pack', 'Guns and Robots - Veteran Pack', 'Destination Sol', 'Mortal Online', 'Spiral Knights']"
Hearts of Iron III: Dies Irae Stars &amp; Stripes Spritepack,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
Saints Row: The Third - Gangstas in Space,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Pickers,"['Iron Roses', 'Drawn®: The Painted Tower', 'Myst: Masterpiece Edition', 'Puzzle Agent 2', 'Pickers']"
1000 Amps,"['Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack', 'Machinarium', 'The Misadventures of P.B. Winterbottom', 'Puzzle Bots', 'Clones']"
Assassin's Creed® Revelations - The Lost Archive,"['Tomb Raider: Anniversary', 'Sam &amp; Max 101: Culture Shock', 'Sam &amp; Max 102: Situation: Comedy', 'Tomb Raider: Legend', 'Death to Spies']"
Rayman® Origins,"['Tomb Raider: Anniversary', 'Sam &amp; Max 101: Culture Shock', 'Sam &amp; Max 102: Situation: Comedy', 'Tomb Raider: Legend', 'Death to Spies']"
Painkiller: Recurring Evil,"['Advent Rising', 'Devil May Cry® 3 Special Edition', 'Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II']"
Spiral Knights: Operation Crimson Hammer,"['Spiral Knights: Operation Crimson Hammer', 'Vindictus', 'Dungeons &amp; Dragons Online®', 'Spiral Knights: Guardians Armor Pack', 'Neverwinter']"
Train Simulator: DB Freight: 1970s Loco Add-On,"['Silent Hunter® III', 'Petz® Horsez® 2', 'Silent Hunter®: Wolves of the Pacific', 'IL-2 Sturmovik: 1946', 'Silent Hunter®: Wolves of the Pacific U-Boat Missions']"
Cities In Motion: Design Dreams,"['Silent Hunter® III', 'Petz® Horsez® 2', 'Silent Hunter®: Wolves of the Pacific', 'IL-2 Sturmovik: 1946', 'Silent Hunter®: Wolves of the Pacific U-Boat Missions']"
Vessel,"['Space Trader: Merchant Marine', 'APOX', 'Anomaly: Warzone Earth', 'Orcs Must Die! - Artifacts of Power', 'Orcs Must Die! - Lost Adventures']"
iBomber Defense Pacific,"['iBomber Defense Pacific', 'Bumbledore', 'Ticket to Ride - USA 1910', 'Ticket to Ride - Europe', 'Ticket to Ride']"
Luxor Evolved,"['Razor2: Hidden Skies', 'Swarm Arena', 'The Polynomial - Space of the music', 'BIT.TRIP BEAT', ""Who's That Flying?!""]"
Alan Wake Collector's Edition Extras,"['Tomb Raider: Anniversary', 'Sam &amp; Max 101: Culture Shock', 'Sam &amp; Max 102: Situation: Comedy', 'Tomb Raider: Legend', 'Death to Spies']"
The Sims™ 3 Showtime,"['Silent Hunter® III', 'Petz® Horsez® 2', 'Silent Hunter®: Wolves of the Pacific', 'IL-2 Sturmovik: 1946', 'Silent Hunter®: Wolves of the Pacific U-Boat Missions']"
Stacking,"['Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack', 'Machinarium', 'The Misadventures of P.B. Winterbottom', 'Puzzle Bots', 'Clones']"
Containment: The Zombie Puzzler,"['Zen of Sudoku', 'Gumboy - Crazy Adventures™', 'RIP - Trilogy™', 'Ninja Reflex: Steamworks Edition', 'Gravitron 2']"
Train Simulator: Cologne-Dusseldorf Route Add-On,"['Silent Hunter® III', 'Petz® Horsez® 2', 'Silent Hunter®: Wolves of the Pacific', 'IL-2 Sturmovik: 1946', 'Silent Hunter®: Wolves of the Pacific U-Boat Missions']"
Train Simulator: South West Trains Class 444 EMU Add-On,"['Silent Hunter® III', 'Petz® Horsez® 2', 'Silent Hunter®: Wolves of the Pacific', 'IL-2 Sturmovik: 1946', 'Silent Hunter®: Wolves of the Pacific U-Boat Missions']"
Wizorb,"['Penumbra Overture', 'Amnesia: The Dark Descent', 'The Ball', ""Tobe's Vertical Adventure"", 'Trine 2: Complete Story']"
Defenders of Ardania,"['Disciples II: Rise of the Elves', 'Ghost Master®', 'Vegas: Make It Big™', 'CivCity: Rome', 'Civilization IV®: Warlords']"
Jane's Advanced Strike Fighters,"['Silent Hunter® III', 'Petz® Horsez® 2', 'Silent Hunter®: Wolves of the Pacific', 'IL-2 Sturmovik: 1946', 'Silent Hunter®: Wolves of the Pacific U-Boat Missions']"
Bumbledore,"['iBomber Defense Pacific', 'Bumbledore', 'Ticket to Ride - USA 1910', 'Ticket to Ride - Europe', 'Ticket to Ride']"
Dungeon Defenders - President's Day Surprise,"['The Ship: Murder Party', 'The Ship: Single Player', 'Aztaka', 'Avencast: Rise of the Mage', 'DeathSpank']"
